iso_code,country,2023_last_updated,2022_population,area_sq_km,land_area_sq_km,density_/sq_km,growth_rate,world_%,rank
IND,India,"1,429,730,810","1,417,173,173",3.3M,3M,481,0.81%,17.85%,1
CHN,China,"1,425,641,559","1,425,887,337",9.7M,9.4M,151,-0.02%,17.81%,2
USA,United States,"340,149,749","338,289,857",9.4M,9.1M,37,0.5%,4.25%,3
IDN,Indonesia,"277,725,802","275,501,339",1.9M,1.9M,148,0.74%,3.47%,4
PAK,Pakistan,"240,879,827","235,824,862",881.9K,770.9K,312,1.98%,3%,5
NGA,Nigeria,"224,247,578","218,541,212",923.8K,910.8K,246,2.41%,2.8%,6
BRA,Brazil,"216,526,064","215,313,498",8.5M,8.4M,26,0.52%,2.7%,7
BGD,Bangladesh,"173,101,177","171,186,372",147.6K,130.2K,"1,329",1.03%,2.16%,8
RUS,Russia,"144,402,701","144,713,314",17.1M,16.4M,9,-0.19%,1.8%,9
MEX,Mexico,"128,534,401","127,504,125",2M,1.9M,66,0.75%,1.6%,10
ETH,Ethiopia,"126,792,828","123,379,924",1.1M,1.1M,112,2.55%,1.58%,11
JPN,Japan,"123,239,408","123,951,692",377.9K,364.5K,338,-0.53%,1.54%,12
PHL,Philippines,"117,485,280","115,559,009",342.4K,298.2K,394,1.54%,1.47%,13
EGY,Egypt,"112,861,874","110,990,103",1M,1M,113,1.56%,1.41%,14
COD,Dr Congo,"102,539,649","99,010,212",2.3M,2.3M,45,3.29%,1.28%,15
VNM,Vietnam,"98,913,791","98,186,856",331.2K,313.4K,315,0.68%,1.23%,16
IRN,Iran,"89,227,608","88,550,570",1.6M,1.6M,55,0.7%,1.11%,17
TUR,Turkey,"85,853,902","85,341,241",783.6K,783.6K,110,0.56%,1.07%,18
DEU,Germany,"83,291,469","83,369,843",357.1K,349.4K,238,-0.09%,1.04%,19
THA,Thailand,"71,809,189","71,697,030",513.1K,510.9K,141,0.15%,0.9%,20
GBR,United Kingdom,"67,755,785","67,508,936",242.9K,241.9K,280,0.34%,0.85%,21
TZA,Tanzania,"67,602,102","65,497,748",945.1K,885.8K,76,2.96%,0.84%,22
FRA,France,"64,767,130","64,626,628",551.7K,547.6K,118,0.2%,0.81%,23
ZAF,South Africa,"60,460,108","59,893,885",1.2M,1.2M,50,0.87%,0.75%,24
ITA,Italy,"58,856,524","59,037,474",301.3K,295.7K,199,-0.28%,0.74%,25
KEN,Kenya,"55,191,812","54,027,487",580.4K,569.1K,97,1.99%,0.69%,26
MMR,Myanmar,"54,610,954","54,179,306",676.6K,652.7K,84,0.74%,0.68%,27
COL,Colombia,"52,106,261","51,874,024",1.1M,1.1M,47,0.41%,0.65%,28
KOR,South Korea,"51,780,895","51,815,810",100.2K,97.6K,531,-0.06%,0.65%,29
UGA,Uganda,"48,693,862","47,249,585",241.6K,200.5K,242,2.82%,0.61%,30
SDN,Sudan,"48,212,887","46,874,204",1.9M,1.9M,26,2.63%,0.6%,31
ESP,Spain,"47,515,937","47,558,630",506K,499.6K,95,-0.08%,0.59%,32
ARG,Argentina,"45,797,877","45,510,318",2.8M,2.7M,17,0.58%,0.57%,33
DZA,Algeria,"45,663,958","44,903,225",2.4M,2.4M,19,1.57%,0.57%,34
IRQ,Iraq,"45,589,458","44,496,122",438.3K,434.1K,105,2.27%,0.57%,35
AFG,Afghanistan,"42,333,980","41,128,771",652.2K,652.2K,65,2.7%,0.53%,36
POL,Poland,"40,950,661","39,857,145",312.7K,306.1K,134,2.93%,0.51%,37
CAN,Canada,"38,808,711","38,454,327",10M,9M,4,0.85%,0.48%,38
MAR,Morocco,"37,871,683","37,457,971",446.6K,446.3K,85,1.02%,0.47%,39
SAU,Saudi Arabia,"36,991,583","36,408,820",2.1M,2.1M,17,1.48%,0.46%,40
UKR,Ukraine,"36,857,480","39,701,739",603.5K,579.4K,63,-7.45%,0.46%,41
AGO,Angola,"36,777,010","35,588,987",1.2M,1.2M,29,3.08%,0.46%,42
UZB,Uzbekistan,"35,207,711","34,627,652",447.4K,440.6K,80,1.55%,0.44%,43
YEM,Yemen,"34,513,103","33,696,614",528K,528K,65,2.24%,0.43%,44
PER,Peru,"34,380,403","34,049,588",1.3M,1.3M,27,0.89%,0.43%,45
MYS,Malaysia,"34,339,109","33,938,221",330.8K,328.6K,104,1.09%,0.43%,46
GHA,Ghana,"34,176,299","33,475,870",238.5K,227.5K,150,1.93%,0.43%,47
MOZ,Mozambique,"33,976,979","32,969,518",801.6K,786.4K,43,2.81%,0.42%,48
NPL,Nepal,"30,925,592","30,547,580",147.2K,143.3K,216,1.14%,0.39%,49
MDG,Madagascar,"30,386,373","29,611,714",587K,581.8K,52,2.41%,0.38%,50
CIV,Ivory Coast,"28,933,675","28,160,542",322.5K,318K,91,2.53%,0.36%,51
VEN,Venezuela,"28,885,694","28,301,696",916.4K,882K,33,1.9%,0.36%,52
CMR,Cameroon,"28,709,253","27,914,536",475.4K,472.7K,61,2.63%,0.36%,53
NER,Niger,"27,287,477","26,207,977",1.3M,1.3M,21,3.8%,0.34%,54
AUS,Australia,"26,460,995","26,177,413",7.7M,7.7M,3,1%,0.33%,55
PRK,North Korea,"26,168,203","26,069,416",120.5K,120.4K,217,0.35%,0.33%,56
